Body_Level,Gender,Age,Height,Weight,H_Cal_Consump,Veg_Consump,Water_Consump,Smoking,Meal_Count,Fam_Hist,H_Cal_Burn,Phys_Act,Time_E_Dev,Alcohol_Consump_Always,Alcohol_Consump_Frequently,Alcohol_Consump_Sometimes,Alcohol_Consump_no,Food_Between_Meals_Always,Food_Between_Meals_Frequently,Food_Between_Meals_Sometimes,Food_Between_Meals_no,Transport_Automobile,Transport_Bike,Transport_Motorbike,Transport_Public_Transportation,Transport_Walking,BMI
3,1,0.6466661495639577,0.6905781630287331,1.0161354510645504,1,-0.19931817918288386,0.2365577112574482,0,0.4021545297228099,1,0,-1.2114150707525357,1.5336433243205017,0,0,1,0,0,0,1,0,1,0,0,0,0,0.8232782478982887
3,1,-0.6495819703534299,-0.003363805003322537,0.6865775012839629,1,0.4288561148300977,-1.0267147284502467,0,-1.7921207430902362,1,0,-0.9528692373038277,0.19405052500216322,0,0,0,1,0,0,1,0,0,0,0,1,0,0.8061119733923806
3,0,-0.5377251951402777,0.49365725458334236,1.790354295772189,1,1.0694867403021142,1.4017407273787852,0,0.4021545297228099,1,0,0.7126541876297171,0.28915555419248395,0,0,1,0,0,0,1,0,0,0,0,1,0,1.7516634431115399
3,0,-1.2911276578034596,-0.5453533863221383,-0.03649894865463859,1,0.9862274590036738,-1.6209068327882432,0,0.4021545297228099,1,0,1.2654676540165637,0.6774583899257263,0,0,0,1,0,0,1,0,0,0,0,1,0,0.2194259111247292
3,0,0.2704629453996712,-0.8187154975145652,0.9512564930185274,1,1.0694867403021142,0.9741498603820636,0,0.4021545297228099,1,0,-1.2114150707525357,-0.7878446859062316,0,0,1,0,0,0,1,0,0,0,0,1,0,1.574456716461426
0,0,-0.7170031100466766,-0.36142103562264605,-1.4243326189717869,0,0.8489469570600807,-0.07255177553557915,0,0.7581280911355306,0,0,0.580096698271743,0.5774078595477135,0,0,1,0,0,0,1,0,0,0,0,1,0,-1.5003849600418264
0,0,-0.6154728047482221,-1.8164776918112118,-1.7586569165007468,1,0.5208309430620762,-0.9114022050874435,0,0.25601473922503654,0,0,-1.0401685364041033,-0.5427564240053458,0,0,1,0,0,0,1,0,0,0,0,1,0,-1.554020875851605
0,0,-0.3623542938691242,-0.22830152922120125,-1.3149259635838149,1,1.0694867403021142,-0.008257040986224574,0,0.4021545297228099,0,0,-1.2114150707525357,0.5774078595477135,0,0,0,1,0,1,0,0,0,0,0,1,0,-1.4061445931769465
3,0,-0.9932884272381655,-0.5453533863221383,-0.0887632199221088,1,0.8089268527793978,-1.6209068327882432,0,0.4021545297228099,1,0,-0.0030558469151196086,0.2237946071788087,0,0,0,1,0,0,1,0,0,0,0,1,0,0.15642274627626943
2,1,0.9068552856617155,0.487590995717477,-0.12288576112913907,1,-0.7589909753592882,-0.25879024939162704,0,0.6119465540021978,1,0,-0.15764862708479765,-0.42098337470732894,0,0,0,1,0,0,1,0,1,0,0,0,0,-0.3003643229064338
3,1,2.5432637128592868,0.2197561552338435,0.8681870409137442,1,-0.25891172573842014,-1.6209068327882432,0,1.3767221465533774,1,0,0.36399455286367677,-1.0755002914189622,0,0,0,1,0,0,1,0,1,0,0,0,0,0.8970387829242834
3,0,2.0948854876960565,-0.911178387440434,-0.24904621888141307,1,1.0184736876285032,-0.594735841370032,0,0.4021545297228099,1,0,-1.2114150707525357,-1.0755002914189622,0,0,1,0,0,0,1,0,1,0,0,0,0,0.12222318918660295
2,0,-0.5179287734442319,0.5688408182972118,-0.3137571485991106,1,1.0694867403021142,-0.008257040986224574,0,-2.127944595073082,1,0,2.1956754374595335,-1.0755002914189622,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.5334288412548619
3,0,0.2637772312667966,-0.8186520871431455,0.5973173054205474,1,1.0694867403021142,-1.5117046394865774,0,0.4021545297228099,1,0,-1.1752528022581643,0.5774078595477135,0,0,1,0,0,0,1,0,0,0,0,1,0,1.134058481772059
1,1,-0.8369672233207208,1.5683256610174414,-0.8200532249719854,0,-0.780555062614079,1.604392750815794,0,0.4021545297228099,1,0,1.1566978590383392,0.5774078595477135,0,0,1,0,0,0,1,0,0,1,0,0,0,-1.335191829547803
3,0,0.2704629453996712,-0.8492475913533846,0.9412115661701844,1,1.0694867403021142,0.9685007481613808,0,0.4021545297228099,1,0,-1.2114150707525357,-0.7461963592263243,0,0,1,0,0,0,1,0,0,0,0,1,0,1.580757217026329
0,1,-0.9951715331379196,0.19260594787076615,-1.3038930423464001,1,-2.2567496682059827,-0.1244065295909733,0,0.4021545297228099,1,0,-1.1835021236490908,1.8125533928064677,0,0,1,0,0,0,1,0,0,0,0,1,0,-1.4992747575253103
3,1,-0.045646826293482046,-0.9250229852005097,0.5216343999465518,1,0.8483752941429794,-1.61062135241613,0,-1.2382365028881692,1,0,0.06349286263786373,0.6732881026608373,0,0,0,1,0,0,1,0,0,0,0,1,0,1.0992933844704609
3,0,-0.6645294299535783,1.0555259873423846,2.469605386986333,1,1.0694867403021142,0.3563324365941679,0,0.4021545297228099,1,0,1.0166962066855676,0.46825641689047803,0,0,1,0,0,0,1,0,0,0,0,1,0,2.121080891175186
3,0,0.2633429604363482,-1.1527296289704008,0.6217222971293934,1,1.0694867403021142,-1.5009063364806714,0,0.4021545297228099,1,0,-1.203996956999966,0.32225338700744055,0,0,1,0,0,0,1,0,0,0,0,1,0,1.3597692218168775
0,0,-0.21580141506134218,0.14790163601953457,-1.3910602310625577,1,0.05060766805667009,-1.1919129604726537,0,1.2208364142268902,1,0,-0.18596888961216673,-0.9147814202678685,0,0,0,1,0,1,0,0,0,0,0,1,0,-1.5855659421993784
3,0,-0.20414998405192536,-0.9569078336296254,-0.08950210298798975,1,-0.5191811566980792,0.8300644394339286,0,0.38838067008742105,1,0,1.288566227533744,-1.0532141308194785,0,0,0,1,0,0,1,0,0,0,0,1,0,0.3445610185389919
1,0,-0.8369672233207208,-0.9680891957900518,-1.2464051228529462,1,-0.780555062614079,-0.008257040986224574,0,0.4021545297228099,1,0,1.1566978590383392,0.5774078595477135,0,0,1,0,1,0,0,0,0,0,0,1,0,-1.114884913332321
2,1,-0.10872256820897953,0.1363926536067693,-0.0534910512761492,1,-0.18895609504475033,0.24153918646432482,0,0.2564815425135614,1,0,-0.8259644335092645,0.5017311127638551,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.08951566623769841
2,0,-0.8393214616551103,0.6078381967206267,-0.24904621888141307,1,-0.780555062614079,1.0418908275364989,0,-1.6069870648811089,1,0,2.196789634593,0.5011112722072427,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.47810278693111374
3,0,2.6938843408810884,-1.6557006950753275,-0.3611939743685557,1,-0.780555062614079,0.13754746463997108,0,0.4021545297228099,1,0,-1.2114150707525357,-1.0755002914189622,0,0,1,0,0,0,1,0,1,0,0,0,0,0.32528579200476965
2,1,-0.2554589640161493,1.2910638119826723,0.3960113359212765,1,-1.5413255527256704,0.7488320441212775,0,-0.10174633721935171,1,0,0.8447439746840573,2.0432977177732647,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.06653975395552332
3,1,0.05246594950430109,0.5802758219433192,1.1734736907591783,1,-1.7956045483274863,-0.008257040986224574,0,0.4021545297228099,1,0,0.4280377989369411,-0.03215656709023008,0,0,1,0,0,0,1,0,0,0,0,1,0,1.0446486911722774
2,1,0.27791072969293573,0.46868413663902403,-0.24833927414073942,1,-0.7933185010123979,0.5795505828260279,0,0.6185817389569755,1,0,0.23874979623289685,-1.0387313496007087,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.42844316754739514
0,0,-0.8369672233207208,-1.452132266026054,-1.691940495976258,1,1.0694867403021142,0.7280482136045328,0,-0.9965045072573575,0,1,0.6790210637443621,0.5731102983552,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.5584280923247182
3,1,-0.044953575007862574,-0.9914770544488645,0.5421195427599875,1,0.8488859056805841,-1.5986845186572114,0,-1.5110128147802262,1,0,-0.02606798431036228,0.7400209634398148,0,0,0,1,0,0,1,0,0,0,0,1,0,1.1629765211553673
3,1,0.9032801846684666,0.6171700897146306,0.9691020607784746,1,-2.6305968655302725,-0.008257040986224574,1,0.4021545297228099,1,1,-1.2114150707525357,-1.0755002914189622,0,1,0,0,0,0,0,1,1,0,0,0,0,0.809282516252063
2,0,-0.3629684429998347,0.3022213432657972,-0.28722519385971085,1,-0.26795102998746934,-0.008257040986224574,0,-2.127944595073082,1,0,0.04574859245494077,-1.0755002914189622,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.411092704811567
0,0,-0.6431042948879646,-1.5953445898785457,-1.595031699333393,1,1.0694867403021142,-1.6209068327882432,0,0.2222480363055109,0,0,-0.31787159574505347,-1.0755002914189622,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.3884254462256267
3,0,2.5888134231289253,-1.823495106248379,-0.25814723308155474,1,-0.780555062614079,-1.6209068327882432,0,0.4021545297228099,1,0,-1.2114150707525357,-1.0755002914189622,0,0,1,0,0,0,1,0,1,0,0,0,0,0.5541253401709749
3,0,-0.9814438287664616,-0.5453533863221383,-0.16770360616444926,1,1.0694867403021142,-1.6209068327882432,0,0.4021545297228099,1,0,0.007867073973540847,1.1560893502929954,0,0,1,0,0,0,1,0,0,0,0,1,0,0.06126224662681166
3,0,-0.8349308174447535,0.42759421595874375,1.798201150184153,1,1.0694867403021142,1.1237586068671206,0,0.4021545297228099,1,0,0.5243039576458699,0.2687024687324223,0,0,1,0,0,0,1,0,0,0,0,1,0,1.7994004464321374
0,0,-0.7358064832899998,-1.7570199002095503,-1.6955973009775296,1,1.0694867403021142,-0.8197262897230824,0,-2.127944595073082,0,0,-1.2114150707525357,-0.2268526181925949,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.4819835620616064
2,1,-0.01574510430786272,-0.016933624487243292,-0.06444540194952553,1,-0.780555062614079,0.08213681779365382,0,0.4021545297228099,1,0,-1.2114150707525357,0.5774078595477135,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.03993241781914153
2,0,-0.8369672233207208,0.6171700897146306,-0.24904621888141307,1,-0.780555062614079,1.604392750815794,0,-2.127944595073082,1,0,2.3407543239337767,0.5774078595477135,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.48134278791992297
1,0,-0.9951715331379196,-0.7567212910560962,-1.3529930973231863,1,-2.6305968655302725,-1.6209068327882432,0,0.4021545297228099,1,0,-0.02735860585709835,-1.0755002914189622,0,0,1,0,0,1,0,0,0,0,0,1,0,-1.3097883165435493
0,0,-0.2143364431524353,0.3244995204247563,-1.2069837127636627,1,1.0694867403021142,-0.0024998812294916082,0,0.4021545297228099,1,0,0.27996324960651237,-0.3860458551203464,0,0,0,1,0,1,0,0,0,0,0,1,0,-1.4249990360944
2,0,-0.38813242051935837,-1.5171701703126927,-0.8734373171126665,1,0.21689497542818617,-0.044056253714437714,0,-1.3803230745880193,0,0,0.2859616796576727,-1.0755002914189622,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.4348270212396606
3,0,-0.6968527853095695,0.6525002349909127,1.8047774759404316,1,1.0694867403021142,1.3393086033389616,0,0.4021545297228099,1,0,0.4693211116419855,0.2749025272066982,0,0,1,0,0,0,1,0,0,0,0,1,0,1.6742133435647848
2,1,-0.520558603686323,-0.8624052434230728,-0.6297175562751279,1,-0.780555062614079,1.604392750815794,0,-2.127944595073082,0,0,-0.02735860585709835,-1.0755002914189622,0,0,1,0,0,0,0,1,0,0,0,1,0,-0.37561026223901467
3,1,1.056329723458892,-0.1391465470044167,0.13162511851230183,1,-0.4474605861244271,1.2489969896984652,0,0.06448370537886322,1,0,0.5103557724894018,-1.0755002914189622,0,0,1,0,0,0,1,0,1,0,0,0,0,0.23620228856489547
2,1,0.7174254001943474,0.6792488433349934,-0.17119721736338003,1,-2.5118944833715635,0.03758414199553971,0,1.6539843241936973,1,0,-0.24620776226372212,0.40332026727160114,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.42083973162105226
2,1,-0.7689831926931447,1.1832873173588256,-0.01512733649781436,1,0.409360374310967,0.6321648949333599,0,1.4413434082997894,1,0,1.2089917128104462,-0.2958846742095671,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.4357205547058451
1,1,-1.1533758429551184,-0.33398548158818026,-1.0103888936688428,0,-0.780555062614079,-0.008257040986224574,0,1.6672040921207558,0,0,-1.2114150707525357,2.2303160105143887,0,0,0,1,1,0,0,0,0,0,0,1,0,-1.02012528653308
2,1,4.897345741390923,0.715128545163583,-0.23034235145704415,1,-0.780555062614079,-0.008257040986224574,0,0.4021545297228099,0,0,-0.02735860585709835,-1.0755002914189622,0,0,0,1,0,0,1,0,1,0,0,0,0,-0.49545181767131174
3,1,0.7450758748512678,-0.19748408871098871,0.13130805735538648,1,-1.055726580296228,0.17344021105610893,0,0.4021545297228099,1,0,-0.7516826511840492,-1.0755002914189622,0,0,1,0,0,0,1,0,1,0,0,0,0,0.2617508348946716
2,0,3.4062728108370908,-0.15087746571715077,-0.2332865397147147,1,-0.6386772067902391,-1.577802316503167,0,0.4021545297228099,1,0,-0.44438566090620124,-1.0755002914189622,0,0,0,1,0,0,1,0,1,0,0,0,0,-0.17925116114256417
3,1,0.24235763335202645,0.6871962765529911,1.0523585367113188,1,-0.6412080639766281,0.22531592955879623,0,0.4021545297228099,1,0,0.566746461630047,-0.6187703640520014,0,0,1,0,0,0,1,0,0,0,0,1,0,0.8630108487610251
3,1,0.3936541101853666,0.8294785816246547,1.0130558960793026,1,-0.37505180000009014,0.14063246369168844,0,0.4021545297228099,1,0,-0.5650161494932835,1.8053202667378372,0,0,1,0,0,0,1,0,1,0,0,0,0,0.753425169295247
2,1,-0.045945674234726494,-0.016933624487243292,-0.058710550184555614,1,-0.780555062614079,1.604392750815794,0,0.4021545297228099,1,0,-1.2114150707525357,0.5774078595477135,0,1,0,0,0,1,0,0,0,0,0,1,0,-0.03341988823670404
1,1,-0.9951715331379196,-0.016933624487243292,-1.0103888936688428,1,-0.780555062614079,-0.008257040986224574,0,0.4021545297228099,0,0,1.1566978590383392,0.5774078595477135,0,0,0,1,0,0,1,0,0,0,0,1,0,-1.114151111799405
3,0,-0.4002072062618462,0.36152060893890936,1.8578431365073829,1,1.0694867403021142,0.9781266547686476,0,0.4021545297228099,1,0,0.7049945263583084,0.36052647524307396,0,0,1,0,0,0,1,0,0,0,0,1,0,1.9041081164298468
2,1,-0.4880270514586126,0.031395646930175505,-0.24904621888141307,1,-0.780555062614079,-0.008257040986224574,0,0.4021545297228099,1,0,2.1604947517745603,1.260678766453563,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.26809719537906807
3,0,0.2651637338380344,-0.7490063625333054,0.6946589253740291,1,1.0694867403021142,0.6950146952692606,0,0.4021545297228099,1,0,-1.058461024730273,0.05465251609038873,0,0,1,0,0,0,1,0,0,0,0,1,0,1.215135793614438
1,0,-0.3623542938691242,-0.5453533863221383,-0.8200532249719854,1,-0.780555062614079,-0.008257040986224574,0,0.4021545297228099,1,1,-0.02735860585709835,-1.0755002914189622,0,0,0,1,0,1,0,0,1,0,0,0,0,-0.7251275675968533
3,0,-0.5116898282822805,0.3013124612754408,2.4953795012272484,1,1.0694867403021142,0.5964188996482765,0,0.4021545297228099,1,0,-0.32324129181335437,0.03435810981281987,0,0,1,0,0,0,1,0,0,0,0,1,0,2.640134755137309
3,0,-0.8455164260189323,-1.0159745946075307,-0.17142733318683454,1,0.6353374304117713,-1.542557855303334,0,0.4021545297228099,1,0,-0.9834143419287352,0.11527292252709158,0,0,0,1,0,0,1,0,0,0,0,1,0,0.26851205733349537
1,0,-0.045945674234726494,-1.4965089576249466,-1.0103888936688428,1,-2.6305968655302725,-0.008257040986224574,0,0.4021545297228099,1,0,-1.2114150707525357,2.2303160105143887,0,0,1,0,1,0,0,0,0,0,0,1,0,-0.6277154802076732
2,0,-0.12986704882897743,-2.055513655274845,-0.8271295625299309,0,-0.31347130854822186,-0.008257040986224574,0,1.650318210561868,1,0,-0.10516769239123719,0.3966226834438843,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.14292282435832948
3,0,-0.9951715331379196,-0.33337251466445056,-0.011405322496447365,1,0.3463479505036411,-0.08074081117835001,0,0.4021545297228099,1,0,0.19289128934749664,-1.0755002914189622,0,0,0,1,0,0,1,0,0,0,0,1,0,0.15518250375815018
3,0,0.2704629453996712,-1.2440405638154703,0.9137287705642425,1,1.0694867403021142,0.924325432414548,0,0.4021545297228099,1,0,-1.2114150707525357,-0.26161823533187695,0,0,1,0,0,0,1,0,0,0,0,1,0,1.7972120071226658
3,1,1.0027353240350487,0.6908846464905979,1.2113375460043816,1,1.0034753987322618,0.6001263815196298,0,0.4021545297228099,1,0,-0.48326889115690247,2.0237405085310267,0,0,1,0,0,0,1,0,1,0,0,0,0,1.028316126939564
2,0,-0.20414998405192536,-0.34826338355295783,-0.23159841460190836,1,-0.780555062614079,-1.3905027190841133,0,-0.5388918038033366,1,0,-0.2557915152905857,1.5877826778972641,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.09782765979243548
3,1,0.9947134163014576,0.870314860819254,1.2969956393377091,1,-0.14784261605854399,0.47534115327978127,0,0.4021545297228099,1,0,-0.5421366264221089,0.44846614759895403,0,0,1,0,0,0,1,0,1,0,0,0,0,1.0269290275752292
3,0,0.2646013175166339,-0.8221185207807812,0.8928437705780087,1,1.0694867403021142,0.629363722245,0,0.4021545297228099,1,0,-1.2110930073940842,-0.3126302866870105,0,0,1,0,0,0,1,0,0,0,0,1,0,1.5038473937728905
